WelcomeScreen.stopped,key_respWeiter.rt,slider.response,ThankYouScreen.stopped,CorrAns,frameRate,__participant,key_resp_2.rt,ShortQuiz.started,psychopyVersion,key_resp_2.keys,key_respWeitergehen.rt,Feedback.started,WelcomeScreen.started,date,ConfindentwithDecision.stopped,ShortQuiz.stopped,Zustimmung.rt,Symp,trialsZombies.thisN,trialsZombies.thisIndex,key_resp.rt,__datetime,ShortQuizQ2.started,Participant,blank500.stopped,ShortQuizQ1.started,ConfindentwithDecision.started,DiagnosisZombie.stopped,Zustimmung.keys,__session,InfoScreenWorld.stopped,OS,trialsZombies.thisRepN,DiagnosisZombie.started,ShortQuizQ1.stopped,blank500.started,session,key_respWeitergehen.keys,keySAntwortQ2.rt,InfoDiagnosisThemself.stopped,key_resp.keys,key_respWeiterDiagnosisthemself.rt,InfoDiagnosisThemself.started,key_resp_diagnosis.corr,keySAntwortQ2.keys,trialsZombies.thisTrialN,Feedback.stopped,key_respWeiterDiagnosisthemself.keys,key_resp_Feedback.rt,ShortQuizQ2.stopped,key_respWeiter.keys,ThankYouScreen.started,key_resp_diagnosis.keys,participant,__experimentName,expName,key_resp_Feedback.keys,InfoScreenDisease.started,CorrKey,InfoScreenDisease.stopped,trialsZombies.ran,key_resp_diagnosis.rt,images_zombie
NA,NA,35,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,366.672,NA,2023-11-02_12h55.02.422,366.672,NA,NA,"Abszess, Fieber, Gehirnhautentzündung, Juckreiz",11,22,NA,2023-11-02_12h54.07.504,NA,25,NA,NA,365.872,365.872,NA,001,NA,Win32,0,364.473,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,11,367.939,NA,1.2549999999999957,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.8949999999999818,images/zombie58.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,369.473,NA,2023-11-02_12h55.02.422,369.473,NA,NA,"Abszess, Gehirnhautentzündung, Juckreiz, Tränende Augen",12,27,NA,2023-11-02_12h54.07.504,NA,30,NA,NA,368.989,368.989,NA,001,NA,Win32,0,367.939,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,12,369.989,NA,0.5039999999999623,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.5440000000000396,images/zombie35.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,371.373,NA,2023-11-02_12h55.02.422,371.372,NA,NA,"Gehirnhautentzündung, Juckreiz",13,31,NA,2023-11-02_12h54.07.504,NA,34,NA,NA,370.906,370.906,NA,001,NA,Win32,0,369.99,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,13,371.589,NA,0.20400000000000773,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.396000000000015,images/zombie2.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,373.473,NA,2023-11-02_12h55.02.422,373.473,NA,NA,"Abszess, Geschwollene Drüsen, Juckreiz",14,48,NA,2023-11-02_12h54.07.504,NA,51,NA,NA,373.023,373.023,NA,001,NA,Win32,0,371.59,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,14,373.706,NA,0.22199999999998,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.9159999999999968,images/zombie21.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,374.806,NA,2023-11-02_12h55.02.422,374.806,NA,NA,"Abszess, Gehirnhautentzündung, Hautausschlag, Juckreiz",15,30,NA,2023-11-02_12h54.07.504,NA,33,NA,NA,374.389,374.389,NA,001,NA,Win32,0,373.706,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,15,375.039,NA,0.2230000000000132,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.17600000000004457,images/zombie10.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,376.456,NA,2023-11-02_12h55.02.422,376.456,NA,NA,"Fieber, Juckreiz,Tränende Augen",16,3,NA,2023-11-02_12h54.07.504,NA,6,NA,NA,375.973,375.973,NA,001,NA,Win32,0,375.039,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,16,376.639,NA,0.17399999999997817,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.42200000000002547,images/zombie16.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,377.989,NA,2023-11-02_12h55.02.422,377.989,NA,NA,"Abszess, Fieber, Geschwollene Drüsen, Tränende Augen",17,7,NA,2023-11-02_12h54.07.504,NA,10,NA,NA,377.556,377.556,NA,001,NA,Win32,0,376.64,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,17,378.206,NA,0.20799999999997,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.3889999999999531,images/zombie17.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,379.289,NA,2023-11-02_12h55.02.422,379.289,NA,NA,"Gehirnhautentzündung, Juckreiz, Verstopfung",18,33,NA,2023-11-02_12h54.07.504,NA,36,NA,NA,378.923,378.923,NA,001,NA,Win32,0,378.206,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,18,379.489,NA,0.18900000000002137,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.20600000000001728,images/zombie37.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,380.473,NA,2023-11-02_12h55.02.422,380.473,NA,NA,"Abszess, Fieber, Gehirnhautentzündung, Hautausschlag",19,18,NA,2023-11-02_12h54.07.504,NA,21,NA,NA,380.072,380.072,NA,001,NA,Win32,0,379.489,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,19,380.639,NA,0.16399999999998727,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.08100000000001728,images/zombie59.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,383.589,NA,2023-11-02_12h55.02.422,383.589,NA,NA,"Gehirnhautentzündung, Hautausschlag",20,47,NA,2023-11-02_12h54.07.504,NA,50,NA,NA,382.856,382.856,NA,001,NA,Win32,0,380.639,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,20,387.439,NA,3.843999999999994,NA,NA,NA,m,696929,Zombie_new,Zombie,space,NA,g,NA,1,1.7069999999999936,images/zombie49.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,392.173,NA,2023-11-02_12h55.02.422,392.173,NA,NA,"Geschwollene Drüsen, Tränende Augen",21,56,NA,2023-11-02_12h54.07.504,NA,59,NA,NA,390.04,390.04,NA,001,NA,Win32,0,387.44,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,21,392.706,NA,0.521000000000015,NA,NA,NA,g,696929,Zombie_new,Zombie,space,NA,g,NA,1,2.0710000000000264,images/zombie38.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,396.739,NA,2023-11-02_12h55.02.422,396.739,NA,NA,"Gehirnhautentzündung,Geschwollene Drüsen",22,44,NA,2023-11-02_12h54.07.504,NA,47,NA,NA,394.873,394.873,NA,001,NA,Win32,0,392.707,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,22,398.123,NA,1.3789999999999625,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,1.6479999999999675,images/zombie47.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,401.223,NA,2023-11-02_12h55.02.422,401.223,NA,NA,"Abszess, Fieber, Gehirnhautentzündung, Tränende Augen",23,4,NA,2023-11-02_12h54.07.504,NA,7,NA,NA,400.206,400.206,NA,001,NA,Win32,0,398.123,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,23,401.372,NA,0.1360000000000241,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,1.5760000000000218,images/zombie20.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,402.556,NA,2023-11-02_12h55.02.422,402.556,NA,NA,"Abszess, Fieber, Tränende Augen",24,9,NA,2023-11-02_12h54.07.504,NA,12,NA,NA,402.04,402.039,NA,001,NA,Win32,0,401.373,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,24,402.739,NA,0.17700000000002092,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.15499999999997272,images/zombie6.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,403.889,NA,2023-11-02_12h55.02.422,403.889,NA,NA,"Fieber, Hautausschlag",25,42,NA,2023-11-02_12h54.07.504,NA,45,NA,NA,403.439,403.439,NA,001,NA,Win32,0,402.74,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,25,404.023,NA,0.132000000000005,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.18299999999999272,images/zombie12.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,405.189,NA,2023-11-02_12h55.02.422,405.189,NA,NA,"Gehirnhautentzündung, Hautausschlag",26,21,NA,2023-11-02_12h54.07.504,NA,24,NA,NA,404.789,404.789,NA,001,NA,Win32,0,404.023,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,26,405.372,NA,0.17099999999999227,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.24300000000005184,images/zombie28.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,406.455,NA,2023-11-02_12h55.02.422,406.455,NA,NA,"Gehirnhautentzündung, Geschwollene Drüsen, Juckreiz",27,32,NA,2023-11-02_12h54.07.504,NA,35,NA,NA,406.073,406.073,NA,001,NA,Win32,0,405.372,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,27,406.606,NA,0.14200000000005275,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.19700000000000273,images/zombie57.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,407.772,NA,2023-11-02_12h55.02.422,407.772,NA,NA,"Abszess, Fieber, Tränende Augen",28,10,NA,2023-11-02_12h54.07.504,NA,13,NA,NA,407.339,407.339,NA,001,NA,Win32,0,406.606,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,28,407.939,NA,0.16100000000000136,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.228999999999985,images/zombie9.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,408.939,NA,2023-11-02_12h55.02.422,408.939,NA,NA,"Geschwollene Drüsen, Tränende Augen",29,54,NA,2023-11-02_12h54.07.504,NA,57,NA,NA,408.539,408.539,NA,001,NA,Win32,0,407.939,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,29,409.106,NA,0.16199999999997772,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.08899999999999864,images/zombie25.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,410.105,NA,2023-11-02_12h55.02.422,410.105,NA,NA,"Abszess, Gehirnhautentzündung, Juckreiz",30,28,NA,2023-11-02_12h54.07.504,NA,31,NA,NA,409.622,409.622,NA,001,NA,Win32,0,409.106,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,30,410.356,NA,0.24399999999997135,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.00400000000001909,images/zombie18.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,411.339,NA,2023-11-02_12h55.02.422,411.339,NA,NA,"Abszess, Juckreiz, Verstopfung",31,35,NA,2023-11-02_12h54.07.504,NA,38,NA,NA,410.956,410.956,NA,001,NA,Win32,0,410.357,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,31,411.506,NA,0.16200000000003456,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.07099999999996953,images/zombie39.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,412.372,NA,2023-11-02_12h55.02.422,412.372,NA,NA,"Abszess, Fieber, Verstopfung,Tränende Augen",32,12,NA,2023-11-02_12h54.07.504,NA,15,NA,NA,412.123,412.123,NA,001,NA,Win32,0,411.506,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,32,412.556,NA,0.17000000000001592,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.1050000000000182,images/zombie40.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,413.506,NA,2023-11-02_12h55.02.422,413.506,NA,NA,"Fieber, Gehirnhautentzündung, Tränende Augen",33,5,NA,2023-11-02_12h54.07.504,NA,8,NA,NA,413.206,413.206,NA,001,NA,Win32,0,412.556,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,33,413.656,NA,0.13900000000001,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.12299999999999044,images/zombie26.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,414.573,NA,2023-11-02_12h55.02.422,414.573,NA,NA,"Abszess, Gehirnhautentzündung",34,43,NA,2023-11-02_12h54.07.504,NA,46,NA,NA,414.272,414.272,NA,001,NA,Win32,0,413.657,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,34,414.74,NA,0.15399999999999636,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.0980000000000132,images/zombie11.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,415.722,NA,2023-11-02_12h55.02.422,415.722,NA,NA,"Juckreiz,Verstopfung",35,49,NA,2023-11-02_12h54.07.504,NA,52,NA,NA,415.39,415.39,NA,001,NA,Win32,0,414.74,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,35,415.856,NA,0.1309999999999718,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.1260000000000332,images/zombie33.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,416.806,NA,2023-11-02_12h55.02.422,416.806,NA,NA,"Abszess, Gehirnhautentzündung, Juckreiz",36,29,NA,2023-11-02_12h54.07.504,NA,32,NA,NA,416.49,416.49,NA,001,NA,Win32,0,415.856,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,36,416.906,NA,0.09600000000000364,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.12999999999999545,images/zombie56.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,417.889,NA,2023-11-02_12h55.02.422,417.889,NA,NA,"Abszess, Juckreiz",37,36,NA,2023-11-02_12h54.07.504,NA,39,NA,NA,417.574,417.573,NA,001,NA,Win32,0,416.907,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,37,418.006,NA,0.10800000000000408,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.1379999999999768,images/zombie24.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,418.939,NA,2023-11-02_12h55.02.422,418.939,NA,NA,"Abszess, Juckreiz,Verstopfung,Tränende Augen",38,14,NA,2023-11-02_12h54.07.504,NA,17,NA,NA,418.639,418.639,NA,001,NA,Win32,0,418.006,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,38,419.022,NA,0.08199999999999363,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.132000000000005,images/zombie23.png
NA,NA,34,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,419.823,NA,2023-11-02_12h55.02.422,419.823,NA,NA,"Abszess, Geschwollene Drüsen, Tränende Augen",39,15,NA,2023-11-02_12h54.07.504,NA,18,NA,NA,419.572,419.572,NA,001,NA,Win32,0,419.023,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,39,419.99,NA,0.160000000000025,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.02699999999998681,images/zombie3.png
